ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	1	Vlastimil	Tlustý	Ing.		53	CZ	poslanec	Slaný	532819	53	713	A	3853	0	N	0	0	M	2009	713
1	2	Vladimír	Železný	PhDr.		64	CZ	europoslanec	Brusel	999995	172	713	A	7030	0	N	0	0	M	2009	713
1	3	Jan	Schwippel	Ing.	CSc.	42	CZ	poslanec	Zadní Třebaň	531979	99	713	A	1505	0	N	0	0	M	2009	713
1	4	Andrea	Hudlíková	Ing.	DiS.	29	CZ	ekonomická poradkyně	Brno	3	713	713	A	647	0	N	0	0	F	2009	713
1	5	Luboš	Vrtilka	Ing.		46	CZ	zemědělský podnikatel	Drnek	512991	99	713	A	225	0	N	0	0	M	2009	713
1	6	Ivan	Čundrle	Doc. MUDr.	CSc.	62	CZ	lékař	Brno	3	701	713	A	229	0	N	0	0	M	2009	713
1	7	Vladimír	Litwan	Mgr.		48	CZ	obchodní manažer	Nýřany	559300	172	713	A	52	0	N	0	0	M	2009	713
1	8	Miroslav	Líbal	Ing.		30	CZ	ředitel výroby	Most	567027	172	713	A	127	0	N	0	0	M	2009	713
1	9	Alena	Šůmová	Mgr.		46	CZ	učitelka	Horní Bříza	558885	172	713	A	99	0	N	0	0	F	2009	713
1	10	Robert	Baťa	Ing.	Ph.D.	34	CZ	vedoucí katedry	Staré Jesenčany	575712	99	713	A	219	0	N	0	0	M	2009	713
1	11	Rostislav	Stráník	Ing.	Ph.D.	29	CZ	ekonomický poradce	Přibyslavice	591459	99	713	A	82	0	N	0	0	M	2009	713
1	12	Naděžda	Stauderová	MUDr.		64	CZ	lékařka	Ostrava	4	172	713	A	64	0	N	0	0	F	2009	713
1	13	Anna	Haisová	JUDr.		54	CZ	právnička	Brno	3	172	713	A	74	0	N	0	0	F	2009	713
1	14	Ctirad	Lolek	PhDr.		60	CZ	starosta	Loštice	540196	99	713	A	54	0	N	0	0	M	2009	713
1	15	Jana	Kudělková	Mgr.		29	CZ	překladatelka	Brno	3	172	713	A	87	0	N	0	0	F	2009	713
1	16	Vladimír	John			46	CZ	místostarosta	Lovosice	565229	172	713	A	67	0	N	0	0	M	2009	713
1	17	Pavel	Hanák	Mgr.		47	CZ	učitel	Vyškov	592889	172	713	A	58	0	N	0	0	M	2009	713
1	18	Mojmír	Lýsek			58	CZ	starosta	Štěpánov	505161	99	713	A	28	0	N	0	0	M	2009	713
1	19	František	Kabelka	Ing. Arch.		50	CZ	architekt	Brno	3	172	713	A	55	0	N	0	0	M	2009	713
1	20	Otta	Hercík			59	CZ	podnikatel	Chomutov	562971	172	713	A	22	0	N	0	0	M	2009	713
1	21	Stanislav	Bartošek	Mgr.		48	CZ	ekonom	Šumperk	523704	172	713	A	47	0	N	0	0	M	2009	713
1	22	Lenka	Šašková			21	CZ	studentka	Liberec	563889	172	713	A	88	0	N	0	0	F	2009	713
1	23	Stanislav	Baťa	Ing.		67	CZ	soudní překladatel	Staré Jesenčany	575712	172	713	A	27	0	N	0	0	M	2009	713
1	24	Jan	Fuka			56	CZ	obchodní zástupce	Loučná pod Klínovcem	546518	713	713	A	24	0	N	0	0	M	2009	713
1	25	Lenka	Malá	Mgr.		45	CZ	učitelka	Brno	3	172	713	A	17	0	N	0	0	F	2009	713
1	26	Dalibor	Matějíček	Ing.		49	CZ	kartograf	Šumperk	523704	172	713	A	9	0	N	0	0	M	2009	713
1	27	Věra	Böhmová			74	CZ	důchodkyně	Orlová	599069	172	713	A	14	0	N	0	0	F	2009	713
1	28	Miroslav	Horáček			50	CZ	podnikatel	Šumperk	523704	172	713	A	12	0	N	0	0	M	2009	713
1	29	Martin	Fraško			39	CZ	podnikatel	Most	567027	172	713	A	38	0	N	0	0	M	2009	713
2	1	Zuzana	Roithová	MUDr.	MBA	56	CZ	poslankyně EP	Praha	1	1	1	A	52503	29.09	A	1	0	F	2009	1
2	2	Jan	Březina	Ing.		55	CZ	poslanec EP	Uničov	505587	1	1	A	23154	12.83	A	2	0	M	2009	1
2	3	Ondřej	Benešík		BBS	32	CZ	kraj.zastupitel, člen Výb. EU	Strání	592617	1	1	A	5044	0	N	0	1	M	2009	1
2	4	Marie	Jílková	Mgr.		31	CZ	poradkyně ministra	Praha	1	1	1	A	2286	0	N	0	2	F	2009	1
2	5	Jaroslav	Lobkowicz			66	CZ	podnikatel	Plzeň	2	1	1	A	5377	0	N	0	3	M	2009	1
2	6	David	Macek	Mgr.		32	CZ	ředitel poradců ministra	Brno	3	1	1	A	4507	0	N	0	4	M	2009	1
2	7	Ivo	Vykydal	Ing.		44	CZ	náměstek ministra dopravy	Šumperk	523704	1	1	A	1067	0	N	0	5	M	2009	1
2	8	Pavel	Klener	prof. MUDr.	DrSc.	72	CZ	lékař-vysokoškolský učitel	Praha	1	99	1	A	5793	0	N	0	6	M	2009	1
2	9	Petr	Adamec	Ing.		50	CZ	projektový manažer	Hlučín	507016	1	1	A	1064	0	N	0	7	M	2009	1
2	10	Pavel	Svoboda	doc. JUDr.	DEA	47	CZ	ministr	Praha	1	1	1	A	2276	0	N	0	8	M	2009	1
2	11	Josef	Vícha			59	CZ	parlamentní zpravodaj	Hradec nad Moravicí	507270	1	1	A	984	0	N	0	9	M	2009	1
2	12	Libor	Ambrozek	RNDr.		42	CZ	poslanec PS PČR	Hodonín	547794	1	1	A	3345	0	N	0	10	M	2009	1
2	13	Marie	Cacková	JUDr.		43	CZ	předsedkyně Výboru pro social.	Kunštát	581879	1	1	A	1382	0	N	0	11	F	2009	1
2	14	Tomáš	Zdechovský	Mgr.		29	CZ	jednatel společnosti	Třebechovice pod Orebem	571041	1	1	A	522	0	N	0	12	M	2009	1
2	15	Daniel	Feranc	Mgr.		29	CZ	doktorand	Praha	1	1	1	A	109	0	N	0	13	M	2009	1
