KRZAST	KSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	3	1	Petr	Bendl	Ing.		34	poslanec	Kladno	532053	53	53	A	8386	10.25	A	1	0	M	2000	53
1	3	2	Ladislav	Kutík			59	starosta	Nymburk	537004	53	53	A	2560	0	A	2	0	M	2000	53
1	3	3	Josef	Kantůrek	Ing.		45	podnikatel	Týnec nad Labem	533807	53	53	A	2031	0	A	3	0	M	2000	53
1	3	4	Dagmar	Nohýnková			44	starostka	Dřísy	534781	53	53	A	2148	0	A	4	0	F	2000	53
1	3	5	Jaroslav	Král			53	starosta	Benátky nad Jizerou	535451	53	53	A	2252	0	A	5	0	M	2000	53
1	3	6	Mojmír	Chromý	Ing.		60	starosta	Benešov	529303	53	53	A	1828	0	A	6	0	M	2000	53
1	3	7	Karel	Vyšehradský			53	náměstek ředitele	Vojkov	530891	53	53	A	515	0	A	7	0	M	2000	53
1	3	8	Jiří	Burian	Ing.		51	starosta	Sedlčany	541281	53	53	A	2359	0	A	8	0	M	2000	53
1	3	9	Jiřina	Pospíšilová			44	manažerka	Kutná Hora	533955	53	53	A	1363	0	A	9	0	F	2000	53
1	3	10	Jan	Hájek	Mgr.		45	starosta	Hořovice	531189	53	53	A	1569	0	A	10	0	M	2000	53
1	3	11	Jaroslava	Honová	Ing.		41	vedoucí oddělení MŽP	Hostivice	539244	53	53	A	882	0	A	11	0	F	2000	53
1	3	12	Vilém	Žák	Ing.		35	jednatel společnosti	Nové Strašecí	542164	53	53	A	1365	0	A	12	0	M	2000	53
1	3	13	Svatopluk	Čech	RNDr.		41	asistent ředitele	Mělník	534676	53	53	A	1224	0	A	13	0	M	2000	53
1	3	14	Petr	Kopecký			33	redaktor	Lysá nad Labem	537454	53	53	A	1167	0	A	14	0	M	2000	53
1	3	15	Josef	Vynikal			53	starosta	Dolní Bousov	535702	53	53	A	1491	0	A	15	0	M	2000	53
1	3	16	Miroslav	Hölzel	Ing.		42	zástupce starosty	Sedlčany	541281	53	53	A	1598	0	A	16	0	M	2000	53
1	3	17	Karel	Bok			62	ved. ref. Okr.úřadu	Srbsko	531758	53	53	A	464	0	A	17	0	M	2000	53
1	3	18	Josef	Polák			47	starosta	Krakovany	533441	53	53	A	549	0	A	18	0	M	2000	53
1	3	19	Zbyšek	Valcha	Ing.		45	ředitel závodu	Čáslav	534005	53	53	A	599	0	A	19	0	M	2000	53
1	3	20	Eva	Janotová			47	starostka	Kněževes	541877	53	53	A	984	0	A	20	0	F	2000	53
