ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	1	Jiří	Domlátil	Ing.		73	CZ	stavební inženýr, předseda KAN	Praha	1	40	40	A	117	4.53	N	0	0	Muž (M)	2019	40
1	2	Stanislav	Pochman			55	CZ	výrobní dispečer	Chodov	553735	40	40	A	103	3.99	N	0	0	M	2019	40
1	3	Romana	Šimková	Ing.		31	CZ	Pricing & Merchandising Coordinator	Praha	1	40	40	A	88	3.41	N	0	0	F	2019	40
1	4	Jiří	Schmidt	Mgr. et Mgr.		63	CZ	pedagog	Příbram	539911	99	40	A	95	3.68	N	0	0	M	2019	40
1	5	Karel	Protiva	MUDr.		67	CZ	zubní lékař	Kladno	532053	40	40	A	59	2.28	N	0	0	M	2019	40
1	6	Marie	Gottfriedová	Mgr.		44	CZ	ředitelka základní školy	Trmice	553697	99	40	A	141	5.46	N	0	0	F	2019	40
1	7	David	Navara	Mgr.		42	CZ	programátor	Jindřichův Hradec	545881	99	40	A	68	2.63	N	0	0	M	2019	40
1	8	Milan	Tausch	Ing.		52	CZ	ekonom	Plzeň	2	40	40	A	47	1.82	N	0	0	M	2019	40
1	9	Hana	Matějková	Mgr.		49	CZ	učitelka	Plzeň	2	99	40	A	78	3.02	N	0	0	F	2019	40
1	10	Vladimír	Rott		MSc	68	CZ	architekt, ekonom	Praha	1	40	40	A	21	.81	N	0	0	M	2019	40
1	11	Alexis	Katakalidis		MSc	30	CZ	učitel	Praha	1	99	40	A	61	2.36	N	0	0	M	2019	40
1	12	Jolana	Bradová	Ing.		52	CZ	vodohospodář	Plzeň	2	99	40	A	60	2.32	N	0	0	F	2019	40
1	13	Jaroslav	Šesták	Prof. Ing.	DrSc., Dr.h.c.	80	CZ	badatel, nositel Medaile Za zásluhy I. stupně	Praha	1	99	40	A	47	1.82	N	0	0	M	2019	40
1	14	Václav	Baroch	Mgr. Ing.	Ph.D.	43	CZ	informatik a ekonom	Praha	1	99	40	A	40	1.55	N	0	0	M	2019	40
1	15	Bohuslav	Hamáček			69	CZ	požární technik	Praha	1	40	40	A	32	1.24	N	0	0	M	2019	40
1	16	Radek	Hruška			43	CZ	programátor	Vinařice	534234	40	40	A	36	1.39	N	0	0	M	2019	40
1	17	Pavel	Komrska	Ing.		60	CZ	konzultant	Příbram	539911	99	40	A	37	1.43	N	0	0	M	2019	40
1	18	Barnabáš	Bíro			73	CZ	technik	Kralupy nad Vltavou	534951	40	40	A	22	.85	N	0	0	M	2019	40
1	19	Milan	Šurina			60	CZ	podnikatel	Český Brod	533271	40	40	A	8	.31	N	0	0	M	2019	40
1	20	Jiří	Čumpelík			73	CZ	exstarosta Prahy 11	Všestary	539031	40	40	A	38	1.47	N	0	0	M	2019	40
1	21	Pavel	Stulík	Ing.		76	CZ	strojní inženýr	Praha	1	99	40	A	23	.89	N	0	0	M	2019	40
1	22	Jana	Slánská	Ing. Mgr.		76	CZ	filmařka	Praha	1	99	40	A	26	1	N	0	0	F	2019	40
2	1	František	Matějka			48	CZ	předs. strany, zakl. a řed. o.p.s. bez veř. dotací	Most	567027	1178	1178	A	1779	18.38	N	0	0	M	2019	1178
2	2	Richard	Hartmann	Dr. Ing.		50	CZ	čl. předsednictva strany, elektrotechnický inženýr	Vědomice	565831	1178	1178	A	280	2.89	N	0	0	M	2019	1178
2	3	Karel	Fiedler	Ing.		57	CZ	bývalý poslanec PČR, živnostník	Hrádek	556301	1178	1178	A	83	.85	N	0	0	M	2019	1178
2	4	Karel	Leškovský	Mgr. Ing.		50	CZ	krizový manažer, bezpečnostní poradce	Praha	1	1178	1178	A	103	1.06	N	0	0	M	2019	1178
2	5	Karel	Zvára	Ing.	Ph.D.	43	CZ	ekonom, jednatel, systémový architekt	Týnec nad Sázavou	530841	1178	1178	A	121	1.25	N	0	0	M	2019	1178
2	6	Libor	Zeman	Ing.		55	CZ	majitel společnosti	Praha	1	1178	1178	A	64	.66	N	0	0	M	2019	1178
2	7	Milan	Loprais			43	CZ	obecní zastupitel, ekonomický poradce, živnostník	Frenštát pod Radhoštěm	599344	99	1178	A	296	3.05	N	0	0	M	2019	1178
2	8	Otto	Černý			70	CZ	polit. vězeň, disident, sign. Charty 77, redaktor	Postupice	530450	1178	1178	A	121	1.25	N	0	0	M	2019	1178
2	9	Iveta	Kubová	Mgr.		53	CZ	knihovnice, vedoucí knihovny	Brno	3	99	1178	A	125	1.29	N	0	0	F	2019	1178
2	10	Roman	Malach	Ing.		42	CZ	ekonom, soudní znalec	Praha	1	1178	1178	A	68	.7	N	0	0	M	2019	1178
2	11	Ondřej	Pecák	Mgr.		35	CZ	člen předsednictva strany, advokát	Praha	1	1178	1178	A	61	.63	N	0	0	M	2019	1178
2	12	Václav	Kareš	Ing.		59	CZ	IT specialista	Hrusice	538248	1178	1178	A	44	.45	N	0	0	M	2019	1178
2	13	Petr	Jaroš	Ing.		45	CZ	manažer, dopravní expert	České Budějovice	544256	1178	1178	A	851	8.79	N	0	0	M	2019	1178
2	14	David	Matějů			47	CZ	specialista informační bezpečnosti	Praha	1	1178	1178	A	58	.59	N	0	0	M	2019	1178
2	15	Hana	Jirkalová	Mgr.		68	CZ	patentová zástupkyně	Praha	1	99	1178	A	42	.43	N	0	0	F	2019	1178
2	16	Zdeněk	Král	Mgr.		28	CZ	živnostník	Chrustenice	533670	1178	1178	A	38	.39	N	0	0	M	2019	1178
2	17	Martin	Simandl			56	CZ	hudebník, textař	Praha	1	99	1178	A	38	.39	N	0	0	M	2019	1178
2	18	Jiří	Hemerle			47	CZ	OSVČ	Nepomuk	564524	99	1178	A	50	.51	N	0	0	M	2019	1178
2	19	Jaroslav	Pekařík			39	CZ	vedoucí velkoobchodu	Ivaň	584517	1178	1178	A	27	.27	N	0	0	M	2019	1178
2	20	Michal	Nosek			44	CZ	správce IT	Děčín	562335	99	1178	A	52	.53	N	0	0	M	2019	1178
2	21	Michal	Chára			46	CZ	historik, odborný poradce	Praha	1	99	1178	A	76	.78	N	0	0	M	2019	1178
3	1	Antonín	Baudyš	Bc.		46	CZ	konzultant, před. kraj. org. hnutí CESTA	Šumperk	523704	1177	1177	A	2527	32.02	N	0	0	M	2019	1177
3	2	Jan	Dubanič	Bc.		44	CZ	konzultant a lektor, místopř. hnutí CESTA	Ústí nad Labem	5	1177	1177	A	254	3.21	N	0	0	M	2019	1177
3	3	Jan	Kubín	Ing.		55	CZ	podnikatel, místopředseda hnutí CESTA	Praha	1	1177	1177	A	131	1.66	N	0	0	M	2019	1177
3	4	Vojtěch	Drahoňovský	Bc.		40	CZ	podnikatel v zemědělství	Železnice	573825	1177	1177	A	97	1.22	N	0	0	M	2019	1177
3	5	Kateřina	Vašáková			40	CZ	expert účetních procesů	Jihlava	586846	1177	1177	A	62	.78	N	0	0	F	2019	1177
3	6	Lenka	Blahová	Bc.	DiS.	32	CZ	manažerka	Černá Voda	533491	1177	1177	A	95	1.2	N	0	0	F	2019	1177
3	7	Jaroslav	Záhora	Ing.		54	CZ	podnikatel, předseda kr. org. hnutí CESTA	Hradec Králové	569810	1177	1177	A	32	.4	N	0	0	M	2019	1177
3	8	Jiří	Macák			52	CZ	odborný konzultant, provozní chemik	Roztoky	539627	1177	1177	A	16	.2	N	0	0	M	2019	1177
3	9	Jaroslav	Nahodil	Ing.		63	CZ	kouč, konzultant, před. kr. org. hnutí CESTA	Brno	3	1177	1177	A	41	.51	N	0	0	M	2019	1177
3	10	Denisa	Binarová	PhDr.		40	CZ	klinická psycholožka	Vysoké Mýto	581186	1177	1177	A	88	1.11	N	0	0	F	2019	1177
3	11	Pavel	Sobek	Mgr.		49	CZ	OSVČ	Jihlava	586846	1177	1177	A	28	.35	N	0	0	M	2019	1177
3	12	Martin	Lichtenberk	Ing.		43	CZ	personální ředitel	Vysoké Mýto	581186	1177	1177	A	48	.6	N	0	0	M	2019	1177
