ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	29	Václav	Hartman	PaedDr.		51	CZ	místostarosta	Jilemnice	577197	129	129	A	165	0	N	0	26	M	2004	311
1	30	Milan	Urban	Ing.	Dr.	44	CZ	architekt	Praha	1	143	143	A	100	0	N	0	27	M	2004	311
1	31	Jaroslav	Šebek	Ing.		30	CZ	tajemník ASZ ČR	Kyškovice	565091	129	129	A	80	0	N	0	28	M	2004	311
1	32	Stanislav	Polčák	JUDr.		24	CZ	právník	Vysoké Pole	585980	143	143	A	309	0	N	0	29	M	2004	311
2	1	Václav	Srb			46	CZ	majitel cestovní agentury	Praha	1	55	55	A	303	0	N	0	0	M	2004	55
2	2	Adam	Bubna-Litic			76	CZ	podnikatel	Doudleby nad Orlicí	576301	99	55	A	472	0	N	0	0	M	2004	55
2	3	Pavel	Macků	Mgr.		40	CZ	učitel na CM církevní ZŠ	Brno	3	55	55	A	210	0	N	0	0	M	2004	55
2	4	Petr	Nohel	Bc. et Bc.		25	CZ	pořadatel výchovných koncertů	Přerov	511382	55	55	A	112	0	N	0	0	M	2004	55
2	5	Marek	Janeček			32	CZ	sportovní manažer a promotér	Praha	1	99	55	A	76	0	N	0	0	M	2004	55
2	6	Milan	Schelinger			52	CZ	hudebník	Praha	1	55	55	A	122	0	N	0	0	M	2004	55
2	7	Marie	Salm-Reifferscheidt-Raitzová			72	CZ	podnikatelka	Rájec-Jestřebí	582239	55	55	A	315	0	N	0	0	F	2004	55
2	8	Jaroslav	Volný	Mgr.		48	CZ	etnolog, novinář a spisovatel	Praha	1	99	55	A	59	0	N	0	0	M	2004	55
2	9	Tereza	Skříšovská			25	CZ	překladatelka	Brno	3	99	55	A	133	0	N	0	0	F	2004	55
2	10	Jaromír	Stach	JUDr. et PhDr.		55	CZ	historik a soudní znalec	Praha	1	55	55	A	159	0	N	0	0	M	2004	55
2	11	Giuseppe	Maiello		PhD.	42	IT	odb. asistent na FF UK	Praha	1	99	55	A	67	0	N	0	0	M	2004	55
2	12	Ivan	Henn	Mgr.		50	CZ	překladatel a průvodce	Praha	1	99	55	A	30	0	N	0	0	M	2004	55
2	13	Tomáš	Kordač	JUDr.		38	CZ	advokát	Praha	1	55	55	A	71	0	N	0	0	M	2004	55
2	14	Stanislav	Jelínek	Mgr.		59	CZ	hudební skladatel	Praha	1	55	55	A	46	0	N	0	0	M	2004	55
2	15	Vladimír	Němec	MUDr.		48	CZ	lékař - chirurg	Praha	1	55	55	A	87	0	N	0	0	M	2004	55
2	16	Jiří	Čížek	MVDr.		46	CZ	soukromý veterinář	Vnorovy	586757	55	55	A	56	0	N	0	0	M	2004	55
2	17	David	Hibsch			33	CZ	PC grafik	Ostrava	4	55	55	A	47	0	N	0	0	M	2004	55
2	18	Sebastián	Flajšer			35	CZ	příslušník jízd. oddílu MP	Ostrava	4	55	55	A	44	0	N	0	0	M	2004	55
2	19	Pavel	Vaculík	Mgr.		31	CZ	etnolog, zaměstnanec stát.spr.	Chodov	553735	55	55	A	45	0	N	0	0	M	2004	55
2	20	Václav	Makrlík	Ing.		60	CZ	ekonom-projektový manažer	Statenice	539686	55	55	A	10	0	N	0	0	M	2004	55
2	21	Eva	Fuxová			46	CZ	poštovní úřednice	Brno	3	55	55	A	6	0	N	0	0	F	2004	55
2	22	Vít	Kubias	MUDr.		54	CZ	lékař-rentgenolog	Praha	1	55	55	A	14	0	N	0	0	M	2004	55
2	23	Miluše	Jelínková	Mgr.		56	CZ	učitelka hudby	Praha	1	55	55	A	9	0	N	0	0	F	2004	55
2	24	Svatopluk	Haugwitz			52	CZ	zdravotník záchranář	Praha	1	55	55	A	50	0	N	0	0	M	2004	55
2	25	Jakub	Voleský			35	CZ	výtvarný redaktor	Praha	1	99	55	A	3	0	N	0	0	M	2004	55
2	26	Libor	Linhart			48	CZ	odborný psycholog	Brno	3	55	55	A	22	0	N	0	0	M	2004	55
2	27	Felix	Nevřela			33	CZ	filmový producent	Praha	1	99	55	A	15	0	N	0	0	M	2004	55
2	28	Josef	Mrocek	Ing.		49	CZ	ekonom. a organizační poradce	Kutná Hora	533955	55	55	A	16	0	N	0	0	M	2004	55
2	29	Václav	Vintr			41	CZ	psychiatrický asistent	Karlovy Vary	554961	99	55	A	11	0	N	0	0	M	2004	55
2	30	Milan	Němec			47	CZ	účetní	Brandýs n.L.-St.Bol.	538094	55	55	A	5	0	N	0	0	M	2004	55
2	31	Julius	Moravec			42	CZ	finanční poradce	Praha	1	55	55	A	21	0	N	0	0	M	2004	55
3	1	Dimitrij	Dostál			51	CZ	hudební skladatel	Ostrava	4	99	151	A	170	0	N	0	0	M	2004	151
3	2	David	Tobiasz			26	CZ	muzikant	Ostrava	4	99	151	A	175	0	N	0	0	M	2004	151
3	3	Vladimír	Skórka			28	CZ	muzikant	Ostrava	4	99	151	A	79	0	N	0	0	M	2004	151
3	4	Gabriela	Zimermanová			27	CZ	umělkyně	Dolní Benešov	506702	151	151	A	132	0	N	0	0	F	2004	151
3	5	Michal	Burian			25	CZ	moderátor	Brno	3	99	151	A	119	0	N	0	0	M	2004	151
3	6	Lumír	Mořkovský			35	CZ	moderátor	Ostrava	4	99	151	A	125	0	N	0	0	M	2004	151
3	7	Petr	Novák			28	CZ	producent	Ostrava	4	99	151	A	45	0	N	0	0	M	2004	151
3	8	Miroslav	Pifka	Ing.		30	CZ	spisovatel	Ostrava	4	99	151	A	93	0	N	0	0	M	2004	151
3	9	Táňa	Zimermanová			22	CZ	zpěvačka	Dolní Benešov	506702	99	151	A	140	0	N	0	0	F	2004	151
3	10	Jiří	Hyner			47	CZ	producent	Ostrava	4	99	151	A	28	0	N	0	0	M	2004	151
3	11	Marek	Slonina			31	CZ	manager	Havířov	555088	99	151	A	47	0	N	0	0	M	2004	151
3	12	Jan	Rohel			25	CZ	kaskadér	Ostrava	4	99	151	A	142	0	N	0	0	M	2004	151
3	13	Zuzana	Slezáková			22	CZ	modelka	Ostrava	4	99	151	A	174	0	N	0	0	F	2004	151
3	14	Petra	Halfarová			24	CZ	malířka	Ostrava	4	99	151	A	53	0	N	0	0	F	2004	151
3	15	Martina	Jelínková			23	CZ	manager	Ostrava	4	99	151	A	45	0	N	0	0	F	2004	151
3	16	Robert	Pifka	Ing.		28	CZ	sportovec	Ostrava	4	99	151	A	68	0	N	0	0	M	2004	151
3	17	Aleš	Ďurka			33	CZ	zpěvák	Ostrava	4	99	151	A	38	0	N	0	0	M	2004	151
