KRZAST	KSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	1	1	Stanislav	Vilím			45	technik údržby letadel	Starý Kolín	533700	99	98	A	51	0	N	0	0	M	2016	98
1	2	1	Martin	Kupka	Mgr.		40	starosta	Líbeznice	538442	53	53	A	5426	11.85	A	1	0	M	2016	53
1	2	2	Jana	Poláková	Mgr.		41	starostka	Byšice	534722	53	53	A	1280	0	A	3	0	F	2016	53
1	2	3	Jan	Skopeček	Ing. et Ing.		35	ekonom, krajský zastupitel	Hořovice	531189	53	53	A	1920	0	A	4	0	M	2016	53
1	2	4	Dan	Jiránek	Ing.		53	zaměstnanec nestátní neziskové organizace	Kladno	532053	53	53	A	2782	6.07	A	2	0	M	2016	53
1	2	5	Jaroslav	Král			69	starosta	Benátky nad Jizerou	535451	53	53	A	1253	0	A	5	0	M	2016	53
1	2	6	Michael	Pánek	Ing.		51	místostarosta, spolumajitel klubu ROCK CAFÉ	Dobřichovice	539198	53	53	A	1675	0	A	6	0	M	2016	53
1	2	7	Tomáš	Havlíček	Ing.	MBA	36	ředitel	Kutná Hora	533955	53	53	A	621	0	A	7	0	M	2016	53
1	2	8	Miroslav	Hölzel	Ing.		58	místostarosta	Sedlčany	541281	53	53	A	883	0	A	8	0	M	2016	53
1	2	9	Libor	Lesák			51	místostarosta	Kralupy nad Vltavou	534951	53	53	A	667	0	A	9	0	M	2016	53
1	2	10	Václav	Michl			62	podnikatel	Poděbrady	537683	53	53	A	384	0	A	10	0	M	2016	53
1	2	11	Miloslav	Šmolík	Ing.	MSc.	44	stavební inženýr, vodohospodář	Říčany	538728	53	53	A	793	0	N	0	1	M	2016	53
1	2	12	Petr	Bendl	Ing.		50	poslanec PS PČR	Bratronice	532142	53	53	A	2097	0	N	0	2	M	2016	53
1	2	13	Martin	Smetana			44	majitel montážní firmy	Kolín	533165	53	53	A	327	0	N	0	3	M	2016	53
1	2	14	Roman	Tichovský	Ing.		49	výrobně technický náměstek	Benešov	529303	53	53	A	647	0	N	0	4	M	2016	53
1	2	15	Petr	Koten			40	místostarosta	Žižice	533157	53	53	A	552	0	N	0	5	M	2016	53
1	2	16	Petr	Vychodil			44	starosta	Králův Dvůr	533203	53	53	A	1071	0	N	0	6	M	2016	53
1	2	17	Jiří	Havelka	Mgr.		41	právník	Lysá nad Labem	537454	53	53	A	395	0	N	0	7	M	2016	53
1	2	18	Josef	Pátek	Ing.		35	starosta	Čelákovice	538132	53	53	A	880	0	N	0	8	M	2016	53
1	2	19	Jana	Štěpánová	Mgr.		44	právnička	Bakov nad Jizerou	535427	53	53	A	580	0	N	0	9	F	2016	53
1	2	20	Zdeněk	Havrančík			47	podnikatel	Příbram	539911	53	53	A	310	0	N	0	10	M	2016	53
1	2	21	Filip	Kohutič			34	místostarosta	Horoměřice	539236	53	53	A	200	0	N	0	11	M	2016	53
1	2	22	Olga	Dekojová	Bc.		65	OSVČ - účetní	Kutná Hora	533955	53	53	A	209	0	N	0	12	F	2016	53
1	2	23	Ilona	Chrtová	Ing.		57	ředitelka zařízení pro zdravotně postižené	Libčice nad Vltavou	539414	53	53	A	385	0	N	0	13	F	2016	53
1	2	24	Pavel	Vaic	Ing.		63	zástupce ředitele krajského pozemkového úřadu	Nové Strašecí	542164	53	53	A	198	0	N	0	14	M	2016	53
1	2	25	Petr	Mach	Mgr.		30	analytik, konzultant	Chotutice	533343	53	53	A	246	0	N	0	15	M	2016	53
1	2	26	Michal	Kopal	Mgr.		41	náměstek primátora	Mladá Boleslav	535419	53	53	A	683	0	N	0	16	M	2016	53
