KRZAST	KSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	7	24	Tomáš	Fišera	Bc.		49	slévač, mistr ve výrobě, zastupitel města Kutná Hora	Kutná Hora	1114	1114	A						M	2024	1639
1	7	25	Vladislav	Jadwiszczok			66	grafik	Kladno	1227	1227	A						M	2024	1639
1	7	26	Aleš	Vach			57	státní zaměstnanec, bezpečnostní expert	Zvánovice	1114	1114	A						M	2024	1639
1	7	27	Lenka	Pánková			48	operátorka logistiky	Čelákovice	1114	1114	A						F	2024	1639
1	7	28	Michal	Oščipovský	MUDr.		60	lékař	Kutná Hora	1114	1114	A						M	2024	1639
1	7	29	Miloslav	Moravec			57	mistr výroby, zastupitel obce Věšín	Věšín	1114	1114	A						M	2024	1639
1	7	30	Josef	Šorna	MUDr.		70	lékař	Láz	1265	1265	A						M	2024	1639
1	7	31	Eva	Rathousová	Ing.		68	pedagog	Nymburk	1114	1114	A						F	2024	1639
1	7	32	Roman	Hořejší			50	živnostník	Kladno	1114	1114	A						M	2024	1639
1	7	33	Monika	Petrová	Ing.	Ph.D.	36	odborná referentka Státního zemědělského intervenčního fondu	Příbram	1114	1114	A						F	2024	1639
1	7	34	Milan	Houra			58	technik v oboru elektro	Benešov	1114	1114	A						M	2024	1639
1	7	35	Petr	Vajo	Mgr.		51	úředník obecní samosprávy	Beroun	1227	1227	A						M	2024	1639
1	7	36	Vladimíra	Štefcová			60	technicko-hospodářský pracovník	Církvice	1114	1114	A						F	2024	1639
1	7	37	Marcela	Machalová	Mgr. Bc.	MBA	62	zástupkyně ředitele střední školy, zastupitelka města Kladno	Kladno	1114	1114	A						F	2024	1639
1	7	38	Jaroslava	Doležalová	Mgr.		76	pedagog	Kamenice	1114	1114	A						F	2024	1639
1	7	39	Miroslav	Křeček			66	podnikatel v oboru auto moto	Benešov	1114	1114	A						M	2024	1639
1	7	40	Roman	Salátek			48	podnikatel v oblasti zámečnictví a kovářství	Týnec nad Sázavou	1265	1265	A						M	2024	1639
1	7	41	Petr	Větrovský			47	řidič, zastupitel města Slaný	Slaný	1114	1114	A						M	2024	1639
1	7	42	Daniel	Korol			54	výpravčí, fotograf	Kácov	1114	1114	A						M	2024	1639
1	7	43	Anton	Lukáč			76	sociální pracovník	Kladno	1114	1114	A						M	2024	1639
1	7	44	Vojtěch	Šikal			36	podnikatel ve stavebnictví a autodopravě	Mladá Boleslav	1114	1114	A						M	2024	1639
1	7	45	Jiří	Hojer	Ing.		51	ekonom	Černošice	1227	1227	A						M	2024	1639
1	7	46	Ilona	Havelková			52	prodavačka - servírka	Příbram	1114	1114	A						F	2024	1639
1	7	47	Vlastimil	Lev			51	automechanik	Libodřice	1114	1114	A						M	2024	1639
1	7	48	Erik	Slabý			55	živnostník	Senohraby	1114	1114	A						M	2024	1639
1	7	49	Miluše	Furmanová			44	pečovatelka	Kladno	1114	1114	A						F	2024	1639
1	7	50	František	Kroužek			61	firemní poradce	Olbramovice	1265	1265	A						M	2024	1639
1	7	51	Pavel	Kočí			65	pracovník v živočišné výrobě, zastupitel města Vlašim	Vlašim	1114	1114	A						M	2024	1639
1	7	52	Jakub	Černý			42	živnostník, elektromechanik	Kladno	1114	1114	A						M	2024	1639
1	7	53	Hana	Chalupová			48	vedoucí prodejny	Žleby	1114	1114	A						F	2024	1639
1	7	54	Vanda	Schollaert			47	fotografka	Mladá Boleslav	1114	1114	A						F	2024	1639
1	7	55	Jana	Vacková	Mgr.		37	strážník městské policie	Písková Lhota	1227	1227	A						F	2024	1639
1	7	56	Oldřich	Šimek			51	řidič MHD, trenér stolního tenisu	Černé Voděrady	1114	1114	A						M	2024	1639
1	7	57	Karel	Matuška			60	podnikatel v autodopravě, zastupitel města Vlašim	Vlašim	1114	1114	A						M	2024	1639
1	7	58	Pavel	Drábek			41	strážník městské policie	Úvaly	1114	1114	A						M	2024	1639
1	7	59	Pavel	Dvořák			53	živnostník	Bělá pod Bezdězem	1114	1114	A						M	2024	1639
1	7	60	Martina	Ludányiová			54	vedoucí prodejny	Bystřice	1265	1265	A						F	2024	1639
1	7	61	Jan	Hošna			54	živnostník	Příbram	1114	1114	A						M	2024	1639
1	7	62	Milan	Štěpán			65	technik bezpečnosti práce a požární ochrany	Rožmitál pod Třemšínem	1114	1114	A						M	2024	1639
1	7	63	Jan	Prášek	Ing.		47	technický projektový manažer	Sukorady	1114	1114	A						M	2024	1639
1	7	64	Jana	Džbánková			50	dámská krejčová, prodavačka	Slaný	1114	1114	A						F	2024	1639
1	7	65	Jana	Kolečková Veselá	Mgr.		50	úřednice obecní samosprávy	Kutná Hora	1227	1227	A						F	2024	1639
1	7	66	Jaroslava	Drechslerová			59	státní zaměstnanec	Stará Huť	1114	1114	A						F	2024	1639
1	7	67	Jakub	Skuhravý			41	živnostník	Čelákovice	1114	1114	A						M	2024	1639
1	7	68	Nikola	Hošnová			30	účetní	Příbram	1114	1114	A						F	2024	1639
1	7	69	Petra	Tománková			35	bytová designérka	Zvánovice	1114	1114	A						F	2024	1639
1	7	70	Michal	Procházka			58	technik	Libeř	1265	1265	A						M	2024	1639
1	14	1	Magdaléna	Davis	Mgr.	Ph.D.	48	ředitelka klimatických programů ČR, Člověk v tísni	Mníšek pod Brdy	5	5	A						F	2024	1449
1	14	2	Robert	Filip	Mgr.		51	místostarosta města Stochov	Stochov	99	1187	A						M	2024	1449
1	14	3	Jana	Krumpholcová	Ing.	MSc.	44	lektorka, zastupitelka Středočeského kraje a Mladé Boleslavi	Mladá Boleslav	5	5	A						F	2024	1449
1	14	4	Tomáš	Mígl	Bc.		24	student, 1. místopředseda Zelených	Bratkovice	5	5	A						M	2024	1449
1	14	5	Marek	Pavlík			50	učitel	Rakovník	99	1187	A						M	2024	1449
1	14	6	Kateřina	Pazderů	Ing.	Ph.D.	51	VŠ pedagog	Zákolany	5	5	A						F	2024	1449
1	14	7	Jan	Stachura	Mgr.		36	místostarosta Jílové u Prahy	Jílové u Prahy	5	5	A						M	2024	1449
1	14	8	Soňa	Černá	Mgr.		43	expertka na mezinárodní sankce a zastupitelka v Říčanech	Říčany	5	5	A						F	2024	1449
1	14	9	Adam	Skořepa			33	autor, referent, živnostník	Louňovice	99	1187	A						M	2024	1449
1	14	10	Vladimír	Vedral			56	projektový manažer	Milovice	5	5	A						M	2024	1449
1	14	11	Alena	Smejkalová			44	projektový manažer	Příbram	5	5	A						F	2024	1449
1	14	12	Lucie	Michlová	Mgr.		37	redaktorka	Zeleneč	99	1187	A						F	2024	1449
1	14	13	Martin	Mach	Ing.		56	krajinný ekolog, ekonom	Mšeno	5	5	A						M	2024	1449
1	14	14	Ivana	Recmanová	Mgr.		32	překladatelka, redaktorka, korektorka	Hřebeč	5	5	A						F	2024	1449
1	14	15	Jiří	Čejka	Ing.		70	marketingový manažer	Semčice	5	5	A						M	2024	1449
1	14	16	Jindřich	Michl	Ing.		43	ekonom	Zeleneč	99	1187	A						M	2024	1449
1	14	17	Petra	Honcová	Mgr.		39	učitelka, zastupitelka v Benátkách nad Jizerou	Benátky nad Jizerou	5	5	A						F	2024	1449
1	14	18	Petr	Brož	Mgr.	Ph.D.	40	mimozemský vulkanolog, popularizátor vědy	Jesenice	5	5	A						M	2024	1449
1	14	19	Martina	Pokorná	Mgr.		53	projektová a finanční manažerka v nevládní neziskové organizaci	Mníšek pod Brdy	5	5	A						F	2024	1449
1	14	20	Robert	Šenk	Ing.		47	vedoucí oddělení a lesník na Správě CHKO Kokořínsko - Máchův kraj	Mělník	5	5	A						M	2024	1449
1	14	21	Olga	Pek	Mgr.		36	fundraiserka v sociálním podniku	Čestlice	5	5	A						F	2024	1449
1	14	22	Jiří	Filip			38	tajemník Československé obce legionářské	Bělá pod Bezdězem	5	5	A						M	2024	1449
1	14	23	Michael	Filip	Bc.		22	student ČVUT	Stochov	99	1187	A						M	2024	1449
1	14	24	Lenka	Petrlíková Mašková			46	finanční a personální manažerka v nevládní neziskové organizaci	Benátky nad Jizerou	5	5	A						F	2024	1449
1	14	25	Vlastimil	Zíma	Mgr.	Ph.D.	39	IT specialista, biofyzik	Jesenice	5	5	A						M	2024	1449
1	14	26	Miroslava	Vokounová Krepčíková	Mgr.	DiS.	44	ředitelka Nadační fond Propolis 33	Poděbrady	99	5	A						F	2024	1449
1	14	27	Jaroslav	Smutný	MUDr.		69	praktický lékař	Příbram	5	5	A						M	2024	1449
1	14	28	Andrea	Zborníková	Mgr.		30	asistentka pedagoga na ZŠ	Jesenice	99	5	A						F	2024	1449
1	14	29	Pavel	Frutos		DiS.	49	fyzioterapeut	Mělník	5	5	A						M	2024	1449
1	14	30	Alena	Šálová	Ing.		65	podnikatelka, majitelka CK	Příbram	5	5	A						F	2024	1449
1	14	31	Václav	Vidím	Mgr.		31	Dům zahraniční spolupráce	Jesenice	5	5	A						M	2024	1449
1	14	32	Martina	Trkanová	Ing.		48	referentka státní správy	Mníšek pod Brdy	5	5	A						F	2024	1449
1	14	33	Jan	Dytrych	Ing.		70	důchodce	Dobrovice	5	5	A						M	2024	1449
1	14	34	Daricha	Moravčíková	Ing.		61	business development manager	Lešany	5	5	A						F	2024	1449
1	14	35	Richard	Vavrda	Bc.		50	IT konzultant	Milovice	5	5	A						M	2024	1449
1	14	36	Zuzana	Kodrlová Zelenková			35	koordinátor aktivit na pomoc ohroženým dětem	Jiřice	99	5	A						F	2024	1449
1	14	37	Milan	Sailer	Ing.		61	ekonom	Beroun	5	5	A						M	2024	1449
1	14	38	Lucie	Mrázková			33	osobní asistentka u dětí a dospělých s autismem	Votice	5	5	A						F	2024	1449
1	14	39	Ján	Krištiak			80	důchodce, geolog	Příbram	5	5	A						M	2024	1449
1	14	40	Radka	Matějovská			47	asistentka pedagoga	Kladno	5	5	A						F	2024	1449
1	14	41	David	Hynek	Bc.		49	podnikatel v kovovýrobě	Žehušice	5	5	A						M	2024	1449
1	14	42	Iva	Kofroňová	Mgr. Ing.		59	učitelka	Maršovice	5	5	A						F	2024	1449
1	14	43	Milan	Macoun	Ing. arch.		45	odborný asistent na VŠ	Mnichovo Hradiště	5	5	A						M	2024	1449
1	14	44	Jana	Korábová	Mgr.		37	evaluátorka, konzultantka pro oblast vzdělávání	Mělník	5	5	A						F	2024	1449
1	14	45	Luboš	Kožíšek	Mgr.		38	správce poutního areálu Skalka	Mníšek pod Brdy	5	5	A						M	2024	1449
1	14	46	Lucie	Viktorinová			45	socioložka	Poděbrady	99	5	A						F	2024	1449
1	14	47	Jaroslav	Kolda			24	hasič	Mladá Boleslav	5	5	A						M	2024	1449
1	14	48	Lenka	Ledvinková	Mgr.		36	koordinátorka projektu UNICEF	Příbram	5	5	A						F	2024	1449
1	14	49	Vítězslav	Papež	RNDr.	CSc.	67	důchodce	Jílové u Prahy	5	5	A						M	2024	1449
1	14	50	Ladislav	Hořejší	Ing.		40	účetní	Přezletice	99	5	A						M	2024	1449
1	14	51	Lucie	Karalová	Mgr.		37	advokátka	Drahelčice	99	1187	A						F	2024	1449
1	14	52	Vladimír	Hamral			48	vedoucí posunu	Čáslav	5	5	A						M	2024	1449
1	14	53	Zdeněk	Černovský	Ing.	Ph.D.	53	projektový vedoucí, Chytré domy	Říčany	5	5	A						M	2024	1449
1	14	54	Roman	Molek			54	podnikatel	Mníšek pod Brdy	5	5	A						M	2024	1449
1	14	55	Tomáš	Adam			71	důchodce + OSVČ	Mladá Boleslav	5	5	A						M	2024	1449
1	14	56	Karel	Výborný	Ing.	Ph.D.	50	neurovědec a softwarový vývojář	Divišov	5	5	A						M	2024	1449
1	14	57	Lukáš	Kykal	Mgr.		44	advokát	Říčany	5	5	A						M	2024	1449
1	14	58	Oskar	Lažanský	Ing.		48	manažer transferu technologií	Jílové u Prahy	5	5	A						M	2024	1449
1	14	59	Stanislav	Chmela	Bc.		38	logistik	Dobrovice	5	5	A						M	2024	1449
1	14	60	Tomáš	Svoboda	MgA.		42	hudební učitel	Jílové u Prahy	5	5	A						M	2024	1449
1	14	61	Hedvika	Doubravská	Ing.		51	zemědělský inspektor	Nové Strašecí	99	5	A						F	2024	1449
1	14	62	Vojtěch	Ušela	Bc.		43	výkonný ředitel	Mníšek pod Brdy	99	5	A						M	2024	1449
1	14	63	Michal	Karásek			47	produktový manažer - alternativní zdroje	Církvice	5	5	A						M	2024	1449
1	14	64	Jana	Vidímová	Ing.		60	administrativní pracovnice	Jesenice	5	5	A						F	2024	1449
1	14	65	Pavel	Kraus	Mgr.		50	konstruktér letových postupů	Kladno	5	5	A						M	2024	1449
1	15	1	Vendula	Wolfová	Mgr.		38	předsedkyně spolku Psí senioři v nouzi	Praha	99	715	A						F	2024	715
1	15	2	Oľga	Bruncková	Ing.		67	aktivní dočaskářka, ochránce zvířat	Rpety	99	715	A						F	2024	715
1	15	3	Renata	Vybíralová			52	sanitářka, ochránce zvířat	Týnec nad Sázavou	99	715	A						F	2024	715
1	15	4	Renata	Vikartová			71	ochránce zvířat, dříve zaměstnankyně ČIŽP, členka AOPK – strážce přírody	Praha	99	715	A						F	2024	715
1	15	5	Karolína	Lukavská			54	zlatnice, ochránce zvířat	Mělník	99	715	A						F	2024	715
1	15	6	Milada	Pivoňková			56	prodavačka, ochránce zvířat	Hudlice	99	715	A						F	2024	715
1	15	7	Jana	Křížková			50	pečovatelka, ochránce zvířat	Kolín	99	715	A						F	2024	715
1	15	8	Marta	Písaříková			45	administrativní pracovnice, nyní na mateřské dovolené, ochránce zvířat	Slaný	99	715	A						F	2024	715
1	15	9	Monika	Fenderlová			58	úřednice, ochránce zvířat	Praha	99	715	A						F	2024	715
1	15	10	Ivan	Škrášek			48	řidič, dočaskář	Kladno	99	715	A						M	2024	715
1	15	11	Petr	Svoboda			45	řidič MHD	Pyšely	99	715	A						M	2024	715
1	15	12	Zdeněk	Kylián	Bc.		55	mechanik kolejových vozidel	Plzeň	99	715	A						M	2024	715
1	16	1	Michaela	Vlachá	Ing.		48	místostarostka obce Sojovice, ministerský rada Ministerstvo životního prostředí	Sojovice	99	1245	A						F	2024	1245
1	16	2	Jaroslav	Pelc	Mgr.		53	1. místopředseda PŘÍSAHA	Kladno	1245	1245	A						M	2024	1245
1	16	3	Libor	Žofka	Mgr.		53	člen Výkonné rady, tajemník PŘÍSAHA	Český Brod	1245	1245	A						M	2024	1245
1	16	4	Luboš	Zábranský	Ing.	Ph.D.	39	vysokoškolský pedagog, OSVČ – zemědělství	Rataje	1245	1245	A						M	2024	1245
1	16	5	Dušan	Hýbner			48	místostarosta obce Bělá pod Bezdězem, předseda Středočeského územního rybářského svazu, OSVČ – zemědělství a rybářství	Bělá pod Bezdězem	99	1245	A						M	2024	1245
1	16	6	David	Žofka			23	asistent europoslankyně, student VŠ	Český Brod	1245	1245	A						M	2024	1245
1	16	7	Vlastimil	Kůt	Ing.		52	předseda krajské organizace PŘÍSAHA, zdravotník	Kladno	1245	1245	A						M	2024	1245
1	16	8	Michaela	Talašová			47	zastupitelka obce Doksy, členka Výkonné rady PŘÍSAHA	Doksy	1245	1245	A						F	2024	1245
1	16	9	Romana	Froňková Knappová	Ing.		54	ekonomická ředitelka	Kladno	99	1245	A						F	2024	1245
1	16	10	Václav	Rataj			34	OSVČ - nákladní doprava, potravinářství, poradenská činnost	Kladno	1245	1245	A						M	2024	1245
1	16	11	Adéla	Vaňková			23	podnikatelka, studentka VŠ	Český Brod	99	1245	A						F	2024	1245
1	16	12	František	Pytela	Ing.		63	ministerský rada	Hýskov	1245	1245	A						M	2024	1245
1	16	13	Jakub	Vaněk	Ing.		40	předseda Místní organizace PŘÍSAHA Kolín, stavební inženýr	Kolín	1245	1245	A						M	2024	1245
1	16	14	Marie	Kůtová			47	předsedkyně Místní organizace PŘÍSAHA Kladno, učitelka MŠ	Kladno	1245	1245	A						F	2024	1245
1	16	15	František	Třeštik			68	předseda místní organizace PŘÍSAHA Poděbrady, IT bezpečnostní konzultant	Poděbrady	1245	1245	A						M	2024	1245
1	16	16	Ivo	Spáčil	Ing.		58	auditor	Mnichovice	1245	1245	A						M	2024	1245
1	16	17	Jiří	Falbr			46	dispečer ŘSD	Lužná	1245	1245	A						M	2024	1245
1	16	18	Zdeněk	Ledvinka			52	zdravotník, starosta dobrovolných hasičů Rakovník	Rynholec	1245	1245	A						M	2024	1245
1	16	19	Zuzana	Cejpková			36	strojní specialista	Libčice nad Vltavou	1245	1245	A						F	2024	1245
1	16	20	Ľubomír	Augustín	Mgr. Ing.	MBA	52	právní a ekonomický poradce	Senohraby	1245	1245	A						M	2024	1245
1	16	21	Frank Thomas	Podstatzky-Lichtenstein	Mgr. Ing.		58	stavitel a advokát, sběratel, cestovatel a degustátor	Ohrobec	99	1245	A						M	2024	1245
1	16	22	Josef	Saran	Bc.	DiS.	49	hasič	Milovice	99	1245	A						M	2024	1245
1	16	23	Roman	Šoun			57	státní zaměstnanec	Nová Ves pod Pleší	1245	1245	A						M	2024	1245
1	16	24	Petr	Smorádek	Mgr.	DiS.	36	vedoucí strážník a manažer prevence Městská policie Mníšek pod Brdy	Mníšek pod Brdy	99	1245	A						M	2024	1245
1	16	25	Bořek	Holubec			48	elektrotechnik	Velenka	1245	1245	A						M	2024	1245
1	16	26	Ondřej	Hofmann			39	živnostník - kameník	Rakovník	1245	1245	A						M	2024	1245
1	16	27	Lenka	Dořáková			54	státní zaměstnanec	Stochov	1245	1245	A						F	2024	1245
1	16	28	Matěj	Kopecký			34	policista	Zlonice	99	1245	A						M	2024	1245
1	16	29	Jana	Dragounová			56	oční optik	Libušín	99	1245	A						F	2024	1245
1	16	30	Petr	Rosička			37	technik	Kladno	99	1245	A						M	2024	1245
1	16	31	Jiřina	Průšová			47	učitelka MŠ	Žebrák	1245	1245	A						F	2024	1245
1	16	32	Zdeněk	Krotil			56	policista	Kladno	99	1245	A						M	2024	1245
1	16	33	Jiří	Novák			42	OSVČ	Libčice nad Vltavou	99	1245	A						M	2024	1245
1	16	34	Zdeněk	Fiala			51	řidič metra	Neuměřice	99	1245	A						M	2024	1245
1	16	35	Milan	Mazanec	Ing.		74	stavební inženýr, autorizovaná osoba, člen ČKAIT, jednatel stavební firmy	Mladá Boleslav	99	1245	A						M	2024	1245
1	16	36	Ivan	Vaníček			56	provozovatel autoškoly	Radim	99	1245	A						M	2024	1245
1	16	37	Filip	Krpata			27	obchodní zástupce-asistent prodeje nových vozů	Sázava	99	1245	A						M	2024	1245
1	16	38	Radek	Zámečník	Bc.		47	obchodní manažer-polygrafie	Kladno	99	1245	A						M	2024	1245
1	16	39	Milan	Černobila	Ing.		66	důchodce	Týnec nad Sázavou	99	1245	A						M	2024	1245
1	16	40	Ladislav	Černek			47	policista	Malíkovice	99	1245	A						M	2024	1245
1	16	41	Josef	Knap	Ing.		67	inženýrská činnost v investiční výstavbě	Čelákovice	99	1245	A						M	2024	1245
1	16	42	Daniel	Štěpanovič			55	letecký mechanik	Mratín	99	1245	A						M	2024	1245
1	16	43	Kryštof	Souček			23	OSVČ stavebnictví	Kladno	99	1245	A						M	2024	1245
1	16	44	Karel	Šmat			56	zdravotník	Libušín	99	1245	A						M	2024	1245
1	16	45	Petra	Ledvinková			42	vedoucí v logistice	Rynholec	99	1245	A						F	2024	1245
1	16	46	Miloš	Faltus	Mgr.	Ph.D.	55	gemolog, vysokoškolský pedagog	Horoměřice	99	1245	A						M	2024	1245
1	16	47	Luďka	Abuzadarová	Mgr.		58	policistka ve výslužbě	Libovice	99	1245	A						F	2024	1245
1	16	48	Eva	Ratajová			71	jednatelka	Kladno	99	1245	A						F	2024	1245
1	16	49	Miroslav	Šnobl			60	technik	Slaný	99	1245	A						M	2024	1245
1	16	50	Marek	Pacovský			45	keteringové služby	Libušín	99	1245	A						M	2024	1245
1	16	51	Michaela	Kogutová	Bc.		32	asistentka pedagoga	Kladno	99	1245	A						F	2024	1245
1	16	52	Daniela	Hlaváčková			46	asistentka pedagoga	Kladno	99	1245	A						F	2024	1245
1	16	53	Marie	Macháčová			48	poštovní doručovatelka	Libušín	99	1245	A						F	2024	1245
1	16	54	Vilém	Kogut			38	policista	Kladno	99	1245	A						M	2024	1245
1	16	55	Josef	Čermák	Ing.		69	aktivní důchodce	Velvary	99	1245	A						M	2024	1245
1	16	56	Jaroslav	Huml			49	vychovatel v dětském domově	Kladno	99	1245	A						M	2024	1245
1	16	57	Jana	Ulmová			23	mateřská dovolená	Smečno	99	1245	A						F	2024	1245
1	16	58	Jan	Verner			39	OSVČ autodopravce	Cvrčovice	99	1245	A						M	2024	1245
1	16	59	Václav	Bažo			25	truhlář	Smečno	99	1245	A						M	2024	1245
1	16	60	Nikol	Vernerová			45	pekařka	Cvrčovice	99	1245	A						F	2024	1245
1	16	61	Jiří	Hamberger			66	důchodce	Kladno	99	1245	A						M	2024	1245
1	16	62	Lucyna	Horáková			67	důchodkyně	Rakovník	99	1245	A						F	2024	1245
1	16	63	Martina	Lounová			48	kuchařka	Hřebeč	99	1245	A						F	2024	1245
1	16	64	Michal	Zdobinský			48	řidič MHD	Kladno	99	1245	A						M	2024	1245
1	16	65	Miroslav	Horák			81	důchodce	Rakovník	99	1245	A						M	2024	1245
1	16	66	Václav	Čubrt			76	důchodce	Kladno	99	1245	A						M	2024	1245
1	16	67	Věra	Kašková			71	důchodkyně	Rakovník	99	1245	A						F	2024	1245
1	16	68	Karel	Švojgr			62	zdravotník	Knovíz	99	1245	A						M	2024	1245
1	16	69	Jitka	Hendrychová			63	důchodce	Lužná	99	1245	A						F	2024	1245
1	16	70	Helena	Rollová			64	důchodce	Rakovník	99	1245	A						F	2024	1245
1	21	1	Lucie	Cirkva Chocholová	Mgr.		46	krajská zastupitelka, předsedkyně Výboru pro památkovou péči, kulturu a cestovní ruch	Kačice	720	720	A						F	2024	720
1	21	2	Jiří	Snížek	Ing.		35	náměstek hejtmanky, radní pro územní rozvoj a plánování Středočeského kraje	Kolín	720	720	A						M	2024	720
1	21	3	Jana	Skopalíková	Mgr.		31	radní pro oblast životního prostředí a zemědělství Středočeského kraje, bioložka	Kladno	720	720	A						F	2024	720
1	21	4	Marta	Martinová	Mgr. Bc.		43	ředitelka obecně prospěšné společnosti	Kostomlaty nad Labem	99	720	A						F	2024	720
1	21	5	Martin	Karim	JUDr.		58	právník, specialista na důchody a expert na finanční právo, daně a audit	Trnová	720	720	A						M	2024	720
1	21	6	Milan	Zelený	Bc.		26	specialista ve zdravotnictví, ergoterapeut, zastupitel Středočeského kraje a města Kutná Hora	Kutná Hora	720	720	A						M	2024	720
1	21	7	Tereza	Kvitová	Bc.		38	výtvarnice	Týnec nad Labem	720	720	A						F	2024	720
1	21	8	Lukáš	Kohout			46	místostarosta města Veltrusy	Veltrusy	720	720	A						M	2024	720
1	21	9	Simona	Luftová	Mgr.		51	učitelka na střední škole, zastupitelka Středočeského kraje a města Příbram	Příbram	720	720	A						F	2024	720
1	21	10	Daniel	Netušil	Ing.		32	projektový manažer, hudebník, zastupitel Středočeského kraje a města Benešov	Benešov	720	720	A						M	2024	720
1	21	11	Tomáš	Zmuda	Ing.		36	specialista na digitalizaci, otevřená data a svobodný software, krajský zastupitel	Jinočany	720	720	A						M	2024	720
1	21	12	Jan	Lička	Ing.		43	výrobní inženýr logistiky	Struhařov	720	720	A						M	2024	720
1	21	13	Barbora	Knotová Vaicová	Mgr.		29	asistentka senátorky, žurnalistka, OSVČ	Rakovník	720	720	A						F	2024	720
1	21	14	Petr	Procházka			43	vedoucí provozního oddělení v mezinárodní nákladní železniční dopravě	Nymburk	720	720	A						M	2024	720
1	21	15	Martin	Kodera	Ing.		36	letecký navigátor	Kladno	720	720	A						M	2024	720
1	21	16	Samuel	Volpe			23	student, zastupitel obce Líbeznice	Líbeznice	720	720	A						M	2024	720
1	21	17	Petr	Chaluš	Mgr.		51	metodický pracovník ve vzdělávání	Benešov	99	720	A						M	2024	720
1	21	18	Marek	Jeřicha	Mgr.		33	odborný rada	Černošice	720	720	A						M	2024	720
1	21	19	Marek	Barbuš			18	student gymnázia	Kladno	720	720	A						M	2024	720
1	21	20	Monika	Keřková	Ing.	MPA	39	dotační specialistka	Ohrobec	720	720	A						F	2024	720
1	21	21	Jan	Liška			22	student architektury, junior projektant	Lety	720	720	A						M	2024	720
1	21	22	Josef	Bouše			26	vývojář software a IT konzultant, zastupitel obce Narysov	Narysov	720	720	A						M	2024	720
1	21	23	Ondřej	Klimeš			53	marketingový manažer	Všenory	720	720	A						M	2024	720
1	21	24	Martin	Kolář	Mgr.		36	IT konzultant	Čáslav	720	720	A						M	2024	720
