KRZAST	KSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	7	1	Jiří	Kobza	Mgr.		68	poslanec, diplomat	Petrov	1114	1114	A						M	2024	1639
1	7	2	Tomáš	Doležal	Ing. Mgr.		51	ekonom, politolog, odborný mluvčí SPD pro oblast sociální politiky, člen spolku Svatopluk	Kamenice	1114	1114	A						M	2024	1639
1	7	3	Oldřich	Černý			59	poslanec, zastupitel města Kladno	Kladno	1114	1114	A						M	2024	1639
1	7	4	Jiří	Novotný	Mgr.		48	bezpečnostní expert, zastupitel města Příbram	Příbram	1114	1114	A						M	2024	1639
1	7	5	Václav	Bošek	Mgr.	MBA	47	živnostník, obchodní zástupce, zastupitel města Kladno	Kladno	1114	1114	A						M	2024	1639
1	7	6	Milan Kryštof	Čech	PhDr. JUDr.	DBA	65	interní auditor	Tišice	1227	1227	A						M	2024	1639
1	7	7	Roman	Čada	Ing.		62	živnostník	Šestajovice	1265	1265	A						M	2024	1639
1	7	8	Antonín	Dušek	Ing.		68	ministerský rada	Malešov	1114	1114	A						M	2024	1639
1	7	9	Radek	Rozvoral			57	poslanec, zastupitel obce Všechlapy	Všechlapy	1114	1114	A						M	2024	1639
1	7	10	Martin	Šilhan	Ing.	Ph.D., MBA	45	manažer	Všetaty	1114	1114	A						M	2024	1639
1	7	11	Miloslav	Hess			50	podnikatel ve stavebnictví, zastupitel města Vlašim	Vlašim	1114	1114	A						M	2024	1639
1	7	12	Eduard	Roth		MBA	46	projektant - elektro	Mladá Boleslav	1114	1114	A						M	2024	1639
1	7	13	Olga	Němečková		DiS.	42	předsedkyně spolku Imuníci (pomoc zdravotně postiženým)	Nymburk	1114	1114	A						F	2024	1639
1	7	14	Pavel	Malý			59	živnostník	Děkov	1114	1114	A						M	2024	1639
1	7	15	Pavel	Jehlička			59	stavební technik	Lysá nad Labem	1227	1227	A						M	2024	1639
1	7	16	Karolína	Lev			31	asistentka nadačního fondu, zastupitelka města Slaný	Slaný	1114	1114	A						F	2024	1639
1	7	17	Lucie	Vrbová			47	pracovnice v kovovýrobě, členka sociální a zdravotní komise Rady města Benešov	Neustupov	1114	1114	A						F	2024	1639
1	7	18	Richard	Nocar			45	dopravní manažer, zastupitel města Kutná Hora	Kutná Hora	99	1114	A						M	2024	1639
1	7	19	Jiří	Šafra			49	specialista vzdělávání	Úžice	1114	1114	A						M	2024	1639
1	7	20	Richard	Perman			68	živnostník	Jíloviště	1265	1265	A						M	2024	1639
1	7	21	Tereza	Hanušová			22	vysokoškolská studentka	Mladá Boleslav	1114	1114	A						F	2024	1639
1	7	22	Petra	Novotná	Bc.	DiS.	39	ředitelka Regionální agrární komory Středočeského kraje, zastupitelka města Příbram	Příbram	1114	1114	A						F	2024	1639
1	7	23	Stanislav	Priatka			73	zástupce směnového mistra, zastupitel města Neratovice	Neratovice	1114	1114	A						M	2024	1639
