ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
1	1	Daniel	Kroupa	Mgr.	Ph.D.	65	CZ	vysokoškolský učitel	Praha	1	99	129	A	2192	0	N	0	0	M	2014	129
1	2	Olga	Sedláčková	Mgr.	MBA	51	CZ	proj. manažerka, zastupitelka	Praha	1	129	129	A	203	0	N	0	0	F	2014	129
1	3	Radoslav	Vlk	Mgr.	Ph.D.	39	CZ	náměstek odborn. útvaru muzea	Zubří	545252	129	129	A	224	0	N	0	0	M	2014	129
1	4	Květa	Halanová	Mgr.		55	CZ	starostka	Jílové u Prahy	539333	129	129	A	152	0	N	0	0	F	2014	129
1	5	Jiří	Witzany	Doc. RNDr.	Ph.D.	48	CZ	vysokoškolský učitel	Praha	1	129	129	A	554	0	N	0	0	M	2014	129
1	6	René	Živný			40	CZ	radní Pardubického kraje	Pardubice	6	129	129	A	183	0	N	0	0	M	2014	129
1	7	Salome	Sýkorová	Ing.		50	CZ	starostka	Zátor	597988	129	129	A	115	0	N	0	0	F	2014	129
1	8	Stanislav	Dvořák	Bc.	DiS.	32	CZ	ředitel odd.nemovitostí pro ČR	Sněžné	576794	99	129	A	56	0	N	0	0	M	2014	129
1	9	František	Novotný	PhDr.		70	CZ	odborník na kriz. komunikaci	Rudná	531723	99	129	A	151	0	N	0	0	M	2014	129
1	10	Dalibor	Neděla	Ing.		43	CZ	vedoucí tech. služeb města	Valtice	584975	129	129	A	60	0	N	0	0	M	2014	129
1	11	Miroslav	Sejček	Ing.		59	CZ	jednatel společnosti, ředitel	Mělník	534676	129	129	A	39	0	N	0	0	M	2014	129
1	12	František	Šichnárek			67	CZ	starosta	Ostrava	4	129	129	A	67	0	N	0	0	M	2014	129
1	13	Libuše	Míková	Ing. et Bc.		29	CZ	logistik manažer	Brno	3	99	129	A	87	0	N	0	0	F	2014	129
1	14	Radko	Šamánek	Ing.		58	CZ	vedoucí práv. a ekon. poradny	Pardubice	6	129	129	A	56	0	N	0	0	M	2014	129
1	15	Alan	Béguivin	Mgr.		39	CZ	překladatel	Praha	1	129	129	A	23	0	N	0	0	M	2014	129
1	16	Pavlína	Zábranská	Mgr.		36	CZ	finanční poradce	Jihlava	586846	129	129	A	38	0	N	0	0	F	2014	129
1	17	Jaroslav	Miklenda	Ing.		66	CZ	tajemník městského úřadu	Veselí nad Moravou	586722	129	129	A	64	0	N	0	0	M	2014	129
1	18	Evžen	Erban			68	CZ	manažer	Pardubice	6	99	129	A	48	0	N	0	0	M	2014	129
1	19	Pavel	Smolka	Ing.		47	CZ	starosta	Vítkov	511021	129	129	A	67	0	N	0	0	M	2014	129
1	20	Petr	Šámal			64	CZ	filmový produkční	Praha	1	129	129	A	20	0	N	0	0	M	2014	129
1	21	Olga	Tobolová			55	CZ	recepční	Rožnov pod Radhoštěm	544841	129	129	A	35	0	N	0	0	F	2014	129
1	22	Jiří	Drahovzal	Ing.	DiS.	50	CZ	ředitel společnosti	Čelákovice	538132	129	129	A	15	0	N	0	0	M	2014	129
1	23	Barbora	Peterková	Ing. arch.		61	CZ	asist. vedoucího ústavu ČVUT	Praha	1	129	129	A	32	0	N	0	0	F	2014	129
1	24	Petr	Řezníček	Mgr.		63	CZ	starosta města Chrudim	Chrudim	571164	129	129	A	109	0	N	0	0	M	2014	129
1	25	Anna	Machátová	Bc.		40	CZ	lektorka, fin.a proj.manažerka	Třebíč	590266	99	129	A	71	0	N	0	0	F	2014	129
1	26	Josef	Jiroušek			46	CZ	výzkumný pracovník, konzultant	Praha	1	129	129	A	16	0	N	0	0	M	2014	129
1	27	Dymo	Piškula	Ing.		47	CZ	obchodní ředitel	Břeclav	584291	129	129	A	48	0	N	0	0	M	2014	129
1	28	Helmut	Dohnálek			48	CZ	projektový manažer	Rychnov nad Kněžnou	576069	129	129	A	45	0	N	0	0	M	2014	129
2	1	Radoslav	Štědroň	RNDr.		59	CZ	geograf, ekolog	Ostrava	4	159	159	A	176	0	N	0	0	M	2014	576
